Supplier_ID,Supplier_Name,Country,Phone
1,Supplier_001,India,+1-800-260-9193
2,Supplier_002,USA,+1-800-409-9710
3,Supplier_003,Germany,+1-800-107-4030
4,Supplier_004,Canada,+1-800-146-7848
5,Supplier_005,USA,+1-800-787-1798
6,Supplier_006,USA,+1-800-690-4921
7,Supplier_007,Mexico,+1-800-349-4467
8,Supplier_008,Germany,+1-800-733-4697
9,Supplier_009,China,+1-800-718-8982
10,Supplier_010,USA,+1-800-718-2012
11,Supplier_011,USA,+1-800-159-1355
12,Supplier_012,Canada,+1-800-825-6596
13,Supplier_013,China,+1-800-201-7173
14,Supplier_014,Canada,+1-800-288-6578
15,Supplier_015,China,+1-800-832-5600
16,Supplier_016,Mexico,+1-800-604-2048
17,Supplier_017,India,+1-800-857-7036
18,Supplier_018,Germany,+1-800-714-6064
19,Supplier_019,USA,+1-800-844-8364
20,Supplier_020,India,+1-800-736-3336
21,Supplier_021,Canada,+1-800-100-5680
22,Supplier_022,Germany,+1-800-844-4558
23,Supplier_023,Canada,+1-800-860-4839
24,Supplier_024,USA,+1-800-494-8679
25,Supplier_025,China,+1-800-900-9756
26,Supplier_026,USA,+1-800-391-6431
27,Supplier_027,China,+1-800-396-8226
28,Supplier_028,Mexico,+1-800-394-5015
29,Supplier_029,China,+1-800-113-2937
30,Supplier_030,India,+1-800-402-6779
31,Supplier_031,Canada,+1-800-793-2710
32,Supplier_032,USA,+1-800-786-8395
33,Supplier_033,China,+1-800-538-7893
34,Supplier_034,Mexico,+1-800-538-6570
35,Supplier_035,USA,+1-800-452-3896
36,Supplier_036,Mexico,+1-800-582-7849
37,Supplier_037,USA,+1-800-228-1434
38,Supplier_038,India,+1-800-263-2417
39,Supplier_039,Mexico,+1-800-763-6261
40,Supplier_040,China,+1-800-660-1900
41,Supplier_041,China,+1-800-778-2215
42,Supplier_042,Mexico,+1-800-739-1980
43,Supplier_043,Canada,+1-800-235-5028
44,Supplier_044,USA,+1-800-791-2865
45,Supplier_045,China,+1-800-589-9963
46,Supplier_046,Mexico,+1-800-552-1393
47,Supplier_047,China,+1-800-744-8828
48,Supplier_048,Mexico,+1-800-537-4350
49,Supplier_049,Germany,+1-800-351-3219
50,Supplier_050,Canada,+1-800-303-8967
51,Supplier_051,USA,+1-800-652-6828
52,Supplier_052,India,+1-800-259-2173
53,Supplier_053,Canada,+1-800-487-9467
54,Supplier_054,Mexico,+1-800-391-9398
55,Supplier_055,Germany,+1-800-524-4615
56,Supplier_056,China,+1-800-185-2361
57,Supplier_057,Germany,+1-800-966-3494
58,Supplier_058,India,+1-800-419-4154
59,Supplier_059,USA,+1-800-141-1473
60,Supplier_060,Mexico,+1-800-350-8431
61,Supplier_061,Germany,+1-800-891-5024
62,Supplier_062,India,+1-800-870-9812
63,Supplier_063,India,+1-800-813-3433
64,Supplier_064,Canada,+1-800-819-2198
65,Supplier_065,Canada,+1-800-246-5254
66,Supplier_066,China,+1-800-452-9228
67,Supplier_067,China,+1-800-489-4419
68,Supplier_068,Canada,+1-800-590-9771
69,Supplier_069,Mexico,+1-800-364-2692
70,Supplier_070,China,+1-800-774-4304
71,Supplier_071,Mexico,+1-800-608-7762
72,Supplier_072,Germany,+1-800-683-2172
73,Supplier_073,Germany,+1-800-315-9581
74,Supplier_074,Canada,+1-800-142-2544
75,Supplier_075,USA,+1-800-897-5502
76,Supplier_076,Mexico,+1-800-991-1496
77,Supplier_077,China,+1-800-923-6785
78,Supplier_078,Canada,+1-800-817-8011
79,Supplier_079,China,+1-800-399-4014
80,Supplier_080,China,+1-800-555-4609
